6.100000000000000000e+01	5.873039272620463436e+01	5.871000000000000085e+01	5.864880485492219719e+01	5.176435103366930690e+01
6.352457442422615941e+01	6.123039272620463436e+01	6.121000000000000085e+01	6.114880485492219719e+01	5.426435103366930690e+01
6.614450683136311682e+01	6.375580730887053704e+01	6.373457442422616026e+01	6.367085661874570235e+01	5.650260350219456029e+01
6.886338557240932801e+01	6.637661148987453430e+01	6.635450683136311056e+01	6.628817124653340898e+01	5.882541795319161793e+01
7.168493239488270774e+01	6.909639479551481145e+01	6.907338557240932175e+01	6.900433353012923021e+01	6.123597877361964947e+01
7.461300720606701020e+01	7.191888019057596182e+01	7.189493239488270149e+01	7.182306152800919108e+01	6.373758900473853828e+01
7.765161298290929892e+01	7.484792884286737547e+01	7.482300720606700395e+01	7.474821132418071556e+01	6.633367461197327941e+01
8.080490083020598036e+01	7.788754503442731902e+01	7.786161298290929267e+01	7.778378193363533910e+01	6.902778889031574749e+01
8.407717518832963322e+01	8.104188122102644343e+01	8.101490083020597410e+01	8.093392035599579515e+01	7.182361700735117438e+01
8.747289919130081159e+01	8.431524324121923541e+01	8.428717518832962696e+01	8.420292677861507968e+01	7.472498068572777186e+01
9.099670017548950796e+01	8.771209567574300081e+01	8.768289919130080534e+01	8.759525992993752652e+01	7.773584302656833245e+01
9.465337533863119290e+01	9.123706735754360864e+01	9.120670017548950170e+01	9.111554258341426760e+01	8.086031347495072907e+01
9.844789754815504068e+01	9.489495703210717181e+01	9.486337533863118665e+01	9.476856721166656428e+01	8.410265292814723637e+01
1.023854212970347817e+02	9.869073916708789795e+01	9.865789754815503443e+01	9.855930178990530521e+01	8.746727898681123747e+01
1.064712888044775667e+02	1.026295699094351477e+02	1.025954212970347754e+02	1.024928957468293476e+02	9.095877134871795988e+01
