6.300000000000000000e+01	6.072052857616299804e+01	6.071000000000000085e+01	6.067841893992024893e+01	5.357268042197672031e+01
6.558945821283779765e+01	6.322052857616299804e+01	6.321000000000000085e+01	6.317841893992024893e+01	5.607268042197672031e+01
6.827626700306828411e+01	6.581041754376801123e+01	6.579945821283779139e+01	6.576658548521368175e+01	5.837022176979022703e+01
7.106407021333222929e+01	6.849767321196324588e+01	6.848626700306827786e+01	6.845205431224752601e+01	6.075419887757895054e+01
7.395664614434328143e+01	7.128594001833670291e+01	7.127407021333222303e+01	7.123846748777393145e+01	6.322785423715758668e+01
7.695791228629633451e+01	7.417899687948465726e+01	7.416664614434327518e+01	7.412960147487621043e+01	6.579455084478581739e+01
8.007193018933330109e+01	7.718076192303543337e+01	7.716791228629632826e+01	7.712937186265575917e+01	6.845777654352635011e+01
8.330291047377663460e+01	8.029529735873349239e+01	8.028193018933329483e+01	8.024183823498114521e+01	7.122114850574767786e+01
8.665521798035680945e+01	8.352681448929247665e+01	8.351291047377662835e+01	8.347120917901784765e+01	7.408841785829214643e+01
9.013337706010133843e+01	8.687967886124063455e+01	8.686521798035680320e+01	8.682184743377382574e+01	7.706347445260502127e+01
9.374207700291236733e+01	9.035841555542350534e+01	9.034337706010133218e+01	9.029827517833915351e+01	8.015035178184865572e+01
9.748617760312833980e+01	9.396771461618764931e+01	9.395207700291236108e+01	9.390517945885834195e+01	8.335323204670382324e+01
1.013707148595317165e+02	9.771243661753719323e+01	9.769617760312833354e+01	9.764741775254449863e+01	8.667645137118115883e+01
1.054009068063198242e+02	1.015976183637210397e+02	1.015807148595317102e+02	1.015300236662122018e+02	9.012450516932126732e+01
1.095821594704861042e+02	1.056284787207630274e+02	1.056109068063198180e+02	1.055582127658633027e+02	9.370205366314623063e+01
